               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10145,            0.021627,            0.033552,          0.00012964,            0.027537,          7.4252e-05,           1.604e-05,            0.098511,            0.016723,            0.033647,            0.003324,            0.003324,            0.070084
                   1,            0.094421,            0.021753,            0.031162,             0.34482,             0.02471,           0.0037101,           0.0008921,            0.085837,            0.018073,             0.03065,           0.0066572,           0.0066572,            0.040083
                   2,            0.079991,            0.023081,             0.02722,            0.073845,            0.071509,            0.012667,           0.0040944,             0.08388,            0.019406,             0.03048,           0.0099898,           0.0099898,            0.010083
                   3,            0.075745,            0.023175,             0.02664,            0.065013,             0.12517,            0.023125,           0.0075372,            0.075603,            0.017912,            0.029034,            0.009998,            0.009998,            0.009998
                   4,            0.069679,            0.023174,            0.024271,             0.23497,             0.13797,            0.068356,            0.022115,             0.07207,            0.017869,            0.027092,            0.009998,            0.009998,            0.009998
                   5,            0.067122,            0.022619,            0.022826,             0.22934,             0.19525,              0.1195,            0.041828,            0.064685,            0.017155,            0.024938,           0.0099965,           0.0099965,           0.0099965
                   6,            0.064187,            0.022349,            0.020923,             0.27445,             0.22679,             0.15678,            0.059067,            0.061184,            0.017034,            0.020134,           0.0099945,           0.0099945,           0.0099945
                   7,            0.062331,            0.022013,            0.019793,              0.3035,             0.24864,              0.1755,            0.061438,            0.059992,            0.018388,            0.022258,           0.0099921,           0.0099921,           0.0099921
                   8,             0.06067,            0.021732,            0.019154,             0.27969,             0.24538,             0.16661,            0.060924,            0.059789,            0.016932,            0.024274,           0.0099893,           0.0099893,           0.0099893
                   9,            0.059325,            0.021605,            0.018175,             0.33677,             0.26991,             0.21764,            0.089209,            0.057438,            0.016257,            0.020636,            0.009986,            0.009986,            0.009986
                  10,            0.058155,            0.021312,            0.017307,             0.42705,             0.28306,              0.2539,             0.10132,            0.054991,            0.015927,            0.016166,           0.0099822,           0.0099822,           0.0099822
                  11,            0.057247,            0.021259,            0.016735,             0.41771,             0.31539,             0.28408,             0.11563,            0.054133,            0.015775,              0.0161,           0.0099781,           0.0099781,           0.0099781
                  12,            0.056204,            0.021025,            0.016199,             0.45757,             0.34436,             0.31935,              0.1329,            0.053004,            0.015197,            0.014805,           0.0099735,           0.0099735,           0.0099735
                  13,            0.055344,            0.020825,             0.01573,             0.42669,              0.3745,             0.32133,             0.13047,            0.052276,            0.015559,            0.015899,           0.0099685,           0.0099685,           0.0099685
                  14,            0.055008,            0.020572,            0.015482,              0.4741,             0.34958,             0.32388,             0.13946,            0.052023,            0.015667,            0.014739,            0.009963,            0.009963,            0.009963
                  15,            0.054013,            0.020475,            0.014739,               0.514,             0.35788,             0.35717,             0.15859,            0.051135,            0.014924,            0.014474,           0.0099571,           0.0099571,           0.0099571
                  16,            0.053462,            0.020244,            0.014576,             0.50356,             0.37913,             0.36879,             0.16544,            0.049825,            0.014863,            0.013669,           0.0099508,           0.0099508,           0.0099508
                  17,            0.052952,            0.020103,            0.014291,              0.4663,             0.41206,             0.37865,             0.17434,            0.049102,            0.014622,            0.013763,            0.009944,            0.009944,            0.009944
                  18,            0.052423,            0.019904,            0.013849,             0.52943,             0.42136,             0.40843,             0.18222,            0.048429,            0.014327,            0.013265,           0.0099368,           0.0099368,           0.0099368
                  19,            0.052018,            0.019766,            0.013716,             0.52916,             0.42881,             0.41411,             0.18746,            0.047772,            0.014132,            0.012747,           0.0099291,           0.0099291,           0.0099291
                  20,            0.051585,            0.019772,            0.013297,             0.55288,             0.41918,             0.42439,             0.18992,            0.047894,            0.014072,            0.011994,           0.0099211,           0.0099211,           0.0099211
                  21,            0.051161,            0.019735,             0.01285,              0.5168,             0.44424,             0.42639,             0.19523,            0.046833,            0.014212,            0.011613,           0.0099126,           0.0099126,           0.0099126
                  22,            0.050529,            0.019539,            0.012638,             0.55478,             0.44209,             0.43306,             0.20661,            0.046321,            0.013891,             0.01117,           0.0099037,           0.0099037,           0.0099037
                  23,            0.050135,            0.019345,            0.012281,             0.59165,             0.43508,             0.44589,             0.21471,            0.045999,            0.013758,            0.010832,           0.0098943,           0.0098943,           0.0098943
                  24,            0.049604,            0.019436,            0.011945,             0.57094,             0.45019,             0.45399,             0.21424,            0.045347,            0.013708,            0.010778,           0.0098845,           0.0098845,           0.0098845
                  25,            0.049228,            0.019387,            0.011987,             0.61556,             0.45521,             0.47128,             0.22842,            0.045047,            0.013524,            0.010368,           0.0098743,           0.0098743,           0.0098743
                  26,            0.048878,            0.019233,            0.011784,             0.59605,             0.44823,             0.46263,             0.22926,            0.044889,            0.013475,            0.010133,           0.0098637,           0.0098637,           0.0098637
                  27,            0.048891,            0.019077,            0.011545,             0.57868,              0.4845,             0.48462,              0.2352,            0.044363,            0.013319,              0.0102,           0.0098527,           0.0098527,           0.0098527
                  28,            0.048435,            0.018918,            0.011362,             0.61101,             0.47344,             0.48457,             0.23865,            0.043995,             0.01326,           0.0096338,           0.0098412,           0.0098412,           0.0098412
                  29,            0.047888,            0.018853,            0.011159,             0.59352,             0.49109,             0.49011,             0.24092,            0.043718,            0.013199,           0.0095109,           0.0098293,           0.0098293,           0.0098293
                  30,            0.047715,            0.018774,            0.010816,             0.60151,             0.47187,             0.49154,             0.24356,            0.043433,            0.013189,           0.0095518,            0.009817,            0.009817,            0.009817
                  31,            0.047656,            0.018892,             0.01072,             0.60059,             0.50019,             0.50468,             0.24939,            0.043111,            0.013148,           0.0094081,           0.0098042,           0.0098042,           0.0098042
                  32,             0.04718,            0.018547,            0.010685,              0.6213,             0.49739,             0.50919,             0.25381,            0.042892,            0.013084,           0.0092913,           0.0097911,           0.0097911,           0.0097911
                  33,            0.047003,            0.018513,            0.010331,             0.61612,              0.5063,             0.51395,             0.25814,            0.042667,            0.013032,           0.0091377,           0.0097775,           0.0097775,           0.0097775
                  34,            0.046826,            0.018457,            0.010214,             0.61366,             0.50295,             0.51378,             0.26019,            0.042476,            0.012997,            0.009105,           0.0097635,           0.0097635,           0.0097635
                  35,            0.046508,            0.018438,           0.0099504,             0.65724,             0.48563,             0.51859,             0.26203,            0.042219,            0.012955,            0.009061,           0.0097491,           0.0097491,           0.0097491
                  36,            0.046183,            0.018475,           0.0099738,             0.60488,             0.52898,             0.52405,             0.26365,             0.04197,            0.012896,           0.0088407,           0.0097343,           0.0097343,           0.0097343
                  37,            0.046212,             0.01831,           0.0098795,             0.61977,             0.51383,              0.5237,             0.26631,            0.041781,            0.012851,           0.0087339,           0.0097191,           0.0097191,           0.0097191
                  38,            0.046075,            0.018344,           0.0098797,             0.61139,             0.52362,             0.52715,             0.26849,            0.041713,            0.012854,            0.008621,           0.0097035,           0.0097035,           0.0097035
                  39,            0.045424,            0.018302,           0.0096127,             0.61072,             0.52914,              0.5323,             0.27217,            0.041608,            0.012812,           0.0085371,           0.0096875,           0.0096875,           0.0096875
                  40,            0.045627,            0.017957,           0.0096593,             0.62737,             0.52905,             0.53544,             0.27577,            0.041494,            0.012782,           0.0084113,            0.009671,            0.009671,            0.009671
                  41,            0.045355,            0.017889,           0.0093323,             0.63812,              0.5258,             0.53953,              0.2767,             0.04136,            0.012764,           0.0083325,           0.0096542,           0.0096542,           0.0096542
                  42,            0.045246,            0.017937,           0.0090841,             0.64151,             0.52665,             0.54134,             0.27743,            0.041247,            0.012742,           0.0082502,           0.0096369,           0.0096369,           0.0096369
                  43,            0.044727,            0.018085,           0.0090499,             0.65319,             0.52488,             0.54721,             0.27889,            0.041148,            0.012723,           0.0082327,           0.0096193,           0.0096193,           0.0096193
                  44,            0.044805,            0.017893,           0.0090504,             0.62727,             0.54612,             0.54818,             0.28083,            0.041059,             0.01272,           0.0082049,           0.0096013,           0.0096013,           0.0096013
                  45,             0.04455,            0.018013,           0.0090746,             0.66055,             0.52513,             0.55254,             0.28242,            0.040946,            0.012701,           0.0082135,           0.0095828,           0.0095828,           0.0095828
                  46,            0.044554,            0.017842,           0.0088027,             0.65225,             0.53416,             0.55356,             0.28294,            0.040845,            0.012683,           0.0081862,            0.009564,            0.009564,            0.009564
                  47,            0.044248,            0.017866,           0.0087435,             0.64999,              0.5404,             0.55475,             0.28514,            0.040746,            0.012652,           0.0081673,           0.0095448,           0.0095448,           0.0095448
                  48,            0.044073,            0.017815,            0.008453,             0.64548,             0.54206,              0.5527,             0.28606,             0.04066,             0.01263,            0.008141,           0.0095252,           0.0095252,           0.0095252
                  49,            0.043863,            0.017576,           0.0084725,             0.65444,             0.53603,             0.55435,               0.286,            0.040579,            0.012614,           0.0081173,           0.0095052,           0.0095052,           0.0095052
                  50,            0.043688,            0.017499,           0.0081969,             0.67763,             0.52192,             0.55478,             0.28558,            0.040512,              0.0126,           0.0081093,           0.0094849,           0.0094849,           0.0094849
                  51,             0.04372,            0.017522,           0.0082688,             0.67657,             0.52392,             0.55279,             0.28696,            0.040462,            0.012583,           0.0080862,           0.0094641,           0.0094641,           0.0094641
                  52,            0.043358,            0.017468,           0.0081615,             0.63041,             0.55852,             0.55285,             0.28805,            0.040398,            0.012566,           0.0080651,            0.009443,            0.009443,            0.009443
                  53,            0.043203,            0.017435,           0.0079237,             0.63884,             0.55725,              0.5557,             0.28813,            0.040352,            0.012552,           0.0080454,           0.0094215,           0.0094215,           0.0094215
                  54,            0.043373,            0.017374,           0.0080654,             0.64801,             0.55289,             0.55659,             0.29065,            0.040304,            0.012534,           0.0080245,           0.0093996,           0.0093996,           0.0093996
                  55,            0.043289,            0.017391,            0.008014,             0.64421,             0.55831,             0.55835,             0.29006,            0.040267,            0.012522,           0.0079976,           0.0093773,           0.0093773,           0.0093773
