               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10498,             0.00631,            0.027255,          0.00013599,            0.068783,           7.553e-05,          1.4127e-05,            0.094989,           0.0045654,            0.025777,             0.00034,             0.00034,             0.09694
                   1,            0.099404,           0.0055085,            0.025924,          0.00011341,            0.060847,          6.3684e-05,          1.2842e-05,            0.094984,           0.0040354,            0.025161,          0.00068998,          0.00068998,             0.09379
                   2,            0.099083,            0.005045,            0.025425,           0.0001284,            0.068783,          7.5373e-05,          1.3568e-05,            0.094824,           0.0037526,            0.024993,           0.0010399,           0.0010399,             0.09064
                   3,            0.098571,           0.0048073,            0.025179,          0.00012802,            0.066138,          8.0529e-05,          1.5331e-05,            0.095292,           0.0035349,            0.024848,           0.0013897,           0.0013897,             0.08749
                   4,            0.098229,           0.0046629,            0.025156,           0.0061389,           0.0092534,          0.00044134,          8.9759e-05,             0.10602,           0.0032131,            0.029947,           0.0017394,           0.0017394,            0.084339
                   5,            0.097717,           0.0046116,             0.02519,          8.8789e-05,            0.047619,          4.9742e-05,          1.0781e-05,             0.09441,           0.0033669,            0.024491,           0.0020889,           0.0020889,            0.081189
                   6,            0.097529,           0.0046416,            0.024809,          0.00024174,           0.0026455,          7.2578e-05,          1.3617e-05,            0.094172,           0.0033083,            0.024119,           0.0024381,           0.0024381,            0.078038
                   7,            0.096595,           0.0045677,            0.024244,          0.00012821,            0.068783,          9.9426e-05,          1.5708e-05,            0.093293,           0.0032894,            0.023912,            0.002787,            0.002787,            0.074887
                   8,            0.095178,           0.0047387,             0.02364,          0.00010367,            0.055556,          8.1566e-05,          1.8709e-05,            0.094113,           0.0032332,             0.02325,           0.0031356,           0.0031356,            0.071736
                   9,            0.092874,            0.004702,            0.022131,            0.013178,           0.0022026,          0.00091719,          0.00014014,            0.089565,            0.003358,            0.021124,           0.0034838,           0.0034838,            0.068584
                  10,            0.090098,           0.0049427,            0.019639,           0.0040152,            0.087302,           0.0019713,          0.00039259,            0.086132,           0.0033928,            0.019031,           0.0038316,           0.0038316,            0.065432
                  11,            0.087764,           0.0049452,            0.017825,            0.010003,            0.038774,           0.0053646,           0.0010388,            0.099219,            0.003521,            0.038113,           0.0041789,           0.0041789,            0.062279
                  12,            0.085045,           0.0049729,            0.016423,            0.025068,            0.021164,            0.012488,           0.0035983,            0.088477,           0.0035009,             0.02655,           0.0045257,           0.0045257,            0.059126
                  13,            0.083255,           0.0050023,            0.015583,              0.1467,            0.026012,           0.0070912,            0.002096,            0.084725,           0.0034386,            0.016017,           0.0048719,           0.0048719,            0.055972
                  14,            0.081639,           0.0049283,            0.014985,            0.017601,            0.045848,            0.005485,          0.00087143,            0.092865,           0.0040737,            0.017823,           0.0052175,           0.0052175,            0.052818
                  15,            0.080065,           0.0048802,            0.013765,            0.016741,            0.085076,           0.0068656,           0.0026115,            0.091603,           0.0039686,            0.023464,           0.0055625,           0.0055625,            0.049662
                  16,            0.079442,           0.0049097,            0.013353,            0.070062,            0.057747,            0.013573,            0.004749,            0.081701,           0.0034135,            0.014667,           0.0059067,           0.0059067,            0.046507
