               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.039986,            0.015672,           0.0015405,             0.76727,             0.67712,              0.7166,             0.38494,            0.036587,            0.013865,           0.0022315,           0.0095252,           0.0095252,           0.0095252
                  49,            0.040039,            0.015592,           0.0015489,             0.76543,             0.71053,             0.73722,              0.3917,            0.036228,            0.013779,           0.0018972,           0.0095052,           0.0095052,           0.0095052
                  50,            0.039988,            0.015821,           0.0014606,             0.79068,             0.70051,             0.74009,             0.39072,             0.03627,             0.01376,           0.0019337,           0.0094849,           0.0094849,           0.0094849
                  51,            0.039927,            0.015549,           0.0016624,             0.73426,             0.69609,             0.72647,             0.38779,             0.03613,            0.013781,           0.0017831,           0.0094641,           0.0094641,           0.0094641
                  52,            0.040327,            0.015791,           0.0018085,             0.75359,              0.7033,              0.7384,             0.39925,            0.036373,            0.013747,           0.0019512,            0.009443,            0.009443,            0.009443
                  53,            0.039961,            0.015677,           0.0014815,             0.76527,             0.68161,             0.72833,             0.39378,            0.036275,            0.013708,           0.0017872,           0.0094215,           0.0094215,           0.0094215
                  54,            0.039557,            0.015595,           0.0014577,             0.75896,             0.70525,             0.73872,             0.39142,            0.036082,             0.01374,           0.0015843,           0.0093996,           0.0093996,           0.0093996
                  55,            0.039679,            0.015336,           0.0014871,             0.77576,             0.71742,             0.73915,             0.39659,             0.03605,            0.013727,           0.0016688,           0.0093773,           0.0093773,           0.0093773
                  56,            0.039416,            0.015462,           0.0013991,             0.77325,             0.70623,             0.73918,             0.40021,            0.035947,            0.013652,           0.0015434,           0.0093547,           0.0093547,           0.0093547
                  57,            0.039712,            0.015542,           0.0014602,             0.79566,             0.71196,              0.7462,             0.39944,            0.035968,            0.013674,           0.0016632,           0.0093317,           0.0093317,           0.0093317
                  58,            0.039526,            0.015579,           0.0013858,             0.78502,             0.69437,             0.73919,             0.40057,            0.035908,            0.013636,           0.0017452,           0.0093083,           0.0093083,           0.0093083
                  59,            0.039587,            0.015372,           0.0013314,             0.76186,             0.70739,             0.73962,             0.39874,            0.035881,            0.013641,           0.0018122,           0.0092846,           0.0092846,           0.0092846
                  60,            0.039456,            0.015348,           0.0013035,             0.80657,             0.69093,             0.74577,             0.40571,            0.035806,            0.013632,            0.001718,           0.0092605,           0.0092605,           0.0092605
                  61,            0.039472,            0.015946,           0.0013155,             0.76381,             0.71858,             0.74231,             0.40483,            0.035735,            0.013602,           0.0017629,           0.0092361,           0.0092361,           0.0092361
                  62,            0.039273,            0.015494,           0.0012783,             0.79358,              0.7355,             0.77487,             0.41417,            0.035549,            0.013577,            0.001534,           0.0092113,           0.0092113,           0.0092113
