               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1036,            0.033407,            0.028312,          0.00046573,           0.0078178,             0.00023,          5.8593e-05,            0.096043,            0.033444,            0.023345,              0.0007,              0.0007,              0.0937
                   1,            0.099936,            0.035324,            0.019053,           0.0098585,           0.0090799,            0.003525,          0.00086687,            0.094838,            0.033687,            0.022006,             0.00141,             0.00141,             0.08731
                   2,            0.095159,            0.033718,            0.017227,            0.022962,             0.04092,           0.0073617,           0.0017211,            0.096831,            0.026948,             0.02085,           0.0021198,           0.0021198,             0.08092
                   3,            0.086856,            0.028771,            0.015561,             0.60555,             0.13196,            0.066317,            0.017656,            0.076946,            0.025237,            0.019525,           0.0028294,           0.0028294,            0.074529
                   4,            0.080671,            0.026451,            0.013781,             0.64547,             0.17475,               0.111,            0.033333,            0.072067,            0.028279,            0.017721,           0.0035388,           0.0035388,            0.068139
                   5,            0.076746,            0.025074,            0.012006,             0.67441,             0.17656,             0.13883,            0.039783,            0.072123,            0.021805,            0.018208,           0.0042477,           0.0042477,            0.061748
                   6,            0.072442,            0.023993,           0.0099503,             0.74083,             0.24287,             0.20846,            0.067788,            0.064294,            0.021554,            0.015513,           0.0049561,           0.0049561,            0.055356
                   7,            0.070361,            0.024734,           0.0090492,             0.75935,             0.25873,             0.23267,            0.076397,             0.06218,            0.021582,            0.015946,           0.0056639,           0.0056639,            0.048964
                   8,            0.066447,            0.022972,           0.0079029,             0.82565,             0.27864,             0.27444,            0.098589,            0.057529,            0.019156,            0.012584,            0.006371,            0.006371,            0.042571
                   9,            0.064073,            0.021687,           0.0074081,             0.83566,             0.28995,             0.30585,             0.11779,            0.056474,            0.019133,            0.011915,           0.0070774,           0.0070774,            0.036177
                  10,            0.062026,             0.02173,           0.0070934,             0.84678,             0.30239,             0.32996,             0.13363,            0.055266,            0.018257,           0.0093391,           0.0077829,           0.0077829,            0.029783
                  11,             0.05946,            0.021112,           0.0061689,             0.84254,             0.29981,             0.31472,             0.12256,            0.054763,            0.018182,             0.01059,           0.0084874,           0.0084874,            0.023387
                  12,            0.057604,            0.020251,           0.0057111,             0.65164,             0.35034,              0.3761,             0.16023,            0.050525,            0.016945,           0.0075363,           0.0091909,           0.0091909,            0.016991
