               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10448,            0.044895,            0.019737,           0.0020545,            0.026158,           0.0010783,          0.00025072,            0.095791,            0.044242,            0.014442,             0.00053,             0.00053,             0.09523
                   1,             0.10122,            0.045333,            0.013974,           0.0013913,            0.017052,           0.0006988,           0.0001801,            0.095737,             0.04415,            0.012894,             0.00107,             0.00107,             0.09037
                   2,            0.098788,            0.045198,             0.01313,             0.01885,            0.030839,           0.0060022,           0.0015028,            0.092303,            0.042655,            0.011419,           0.0016099,           0.0016099,             0.08551
                   3,            0.093736,            0.040011,            0.012011,            0.080665,            0.072458,            0.035522,           0.0084103,            0.087402,             0.03512,            0.010623,           0.0021496,           0.0021496,             0.08065
                   4,            0.086042,            0.035215,            0.011085,              0.1012,            0.097249,            0.033303,            0.009232,            0.083038,            0.047131,           0.0092205,           0.0026891,           0.0026891,            0.075789
                   5,            0.081378,            0.033956,           0.0095193,             0.27605,             0.30569,             0.19442,             0.05205,            0.073344,            0.031541,           0.0091337,           0.0032282,           0.0032282,            0.070928
                   6,            0.077353,            0.032177,           0.0076626,             0.28026,             0.47241,             0.25635,            0.074888,            0.070173,            0.031358,           0.0075283,            0.003767,            0.003767,            0.066067
                   7,            0.074035,            0.031658,            0.006224,             0.44594,             0.48653,             0.41289,             0.13214,            0.064433,            0.027556,           0.0076283,           0.0043054,           0.0043054,            0.061205
                   8,            0.071088,            0.030716,           0.0051361,             0.39869,             0.48634,             0.35765,             0.10907,            0.066113,            0.026782,           0.0069629,           0.0048432,           0.0048432,            0.056343
                   9,            0.068366,            0.029346,           0.0044585,             0.54982,             0.48934,             0.45519,             0.15377,            0.060469,            0.028372,           0.0054475,           0.0053804,           0.0053804,             0.05148
                  10,             0.06554,            0.028676,           0.0039846,             0.48536,             0.53943,             0.44418,             0.15257,            0.061473,            0.025048,           0.0076589,            0.005917,            0.005917,            0.046617
                  11,            0.064522,            0.028719,           0.0039932,             0.64651,             0.55269,             0.56448,             0.17679,             0.06026,            0.023694,           0.0057925,           0.0064528,           0.0064528,            0.041753
                  12,            0.061451,            0.027753,           0.0032036,             0.61312,             0.66471,             0.61733,             0.23084,            0.056315,            0.022997,           0.0045981,           0.0069879,           0.0069879,            0.036888
                  13,            0.060033,            0.026429,            0.002804,             0.67814,             0.59878,             0.62017,             0.20828,             0.05838,            0.023624,            0.010541,           0.0075221,           0.0075221,            0.032022
                  14,            0.058472,              0.0269,           0.0025562,             0.71526,             0.63332,             0.67083,             0.25189,            0.054578,            0.023567,           0.0052611,           0.0080553,           0.0080553,            0.027155
                  15,            0.057032,             0.02562,           0.0023872,             0.75845,             0.74427,             0.76742,             0.32263,            0.050124,            0.021895,           0.0041993,           0.0085875,           0.0085875,            0.022288
                  16,            0.055491,            0.025397,            0.002496,             0.82747,             0.70319,             0.78818,              0.3578,            0.049865,            0.021709,           0.0030424,           0.0091186,           0.0091186,            0.017419
