               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09935,           0.0056261,             0.03235,           0.0037159,           0.0030139,          0.00025819,          5.7574e-05,            0.097474,           0.0039566,            0.031769,            0.003325,            0.003325,            0.070075
                   1,            0.091597,           0.0053716,            0.029429,             0.34501,            0.013864,           0.0030296,           0.0006918,            0.087911,           0.0042751,            0.028029,           0.0066582,           0.0066582,            0.040075
                   2,            0.079744,           0.0057377,            0.026099,             0.35541,            0.088746,           0.0096332,           0.0022711,            0.077986,           0.0042145,            0.026145,           0.0099908,           0.0099908,            0.010074
                   3,            0.074485,           0.0056068,            0.024864,            0.062888,             0.14165,            0.027563,           0.0085299,            0.076858,           0.0042169,             0.02757,            0.009998,            0.009998,            0.009998
                   4,            0.069934,           0.0055522,            0.023081,            0.083882,             0.15618,            0.027148,           0.0078386,            0.075235,           0.0041993,             0.02872,            0.009998,            0.009998,            0.009998
                   5,            0.066914,           0.0054864,             0.02147,             0.14804,             0.16299,            0.081337,              0.0268,            0.066667,           0.0040974,            0.021195,           0.0099965,           0.0099965,           0.0099965
                   6,            0.064893,            0.005402,            0.020182,             0.16218,             0.16685,            0.086898,            0.032471,            0.065005,           0.0040413,            0.021597,           0.0099945,           0.0099945,           0.0099945
                   7,            0.063193,           0.0053777,            0.019147,             0.22832,             0.23148,              0.1416,            0.053231,            0.061919,           0.0040419,            0.018418,           0.0099921,           0.0099921,           0.0099921
                   8,            0.061568,           0.0053087,            0.018301,             0.25508,             0.20887,             0.14012,             0.05325,            0.060873,            0.003983,             0.01812,           0.0099893,           0.0099893,           0.0099893
                   9,            0.060314,            0.005308,            0.017581,             0.24367,             0.21399,             0.13708,            0.056312,            0.062272,           0.0038521,            0.019682,            0.009986,            0.009986,            0.009986
                  10,            0.059485,           0.0052085,            0.017302,             0.30754,             0.23482,             0.18712,            0.070534,            0.058133,           0.0038259,            0.016447,           0.0099822,           0.0099822,           0.0099822
                  11,            0.058497,           0.0051997,            0.016657,             0.38658,             0.24181,             0.21175,            0.084241,            0.057933,           0.0037955,            0.016222,           0.0099781,           0.0099781,           0.0099781
                  12,            0.057797,           0.0051177,            0.016303,             0.37213,             0.31568,              0.2453,            0.097508,            0.056491,           0.0038105,            0.015646,           0.0099735,           0.0099735,           0.0099735
                  13,             0.05704,            0.005081,            0.015673,             0.38796,             0.28722,               0.242,            0.095051,            0.057026,           0.0037981,            0.016668,           0.0099685,           0.0099685,           0.0099685
                  14,            0.056544,            0.005019,            0.015382,             0.37012,             0.32031,              0.2559,             0.10453,            0.054946,           0.0036867,            0.016057,            0.009963,            0.009963,            0.009963
                  15,            0.055923,           0.0050285,            0.014949,             0.41614,             0.34188,             0.29916,             0.12136,            0.053448,           0.0035933,            0.014046,           0.0099571,           0.0099571,           0.0099571
                  16,            0.055611,           0.0049859,            0.014789,             0.38401,             0.36723,             0.30026,             0.12801,            0.052378,           0.0035436,            0.013075,           0.0099508,           0.0099508,           0.0099508
                  17,            0.054874,           0.0049317,            0.014405,             0.42193,             0.37423,             0.32183,             0.13678,            0.051939,           0.0035117,            0.012719,            0.009944,            0.009944,            0.009944
                  18,            0.054409,           0.0049388,            0.014251,             0.45516,             0.36321,             0.33786,             0.14751,            0.050988,           0.0034836,            0.012526,           0.0099368,           0.0099368,           0.0099368
