               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10169,            0.021398,            0.033443,           0.0044771,           0.0013463,          0.00031476,          0.00014321,            0.097923,            0.017331,            0.033869,           0.0033302,           0.0033302,            0.070028
                   1,            0.093725,            0.021939,            0.031018,             0.34479,             0.04428,           0.0032926,          0.00075626,            0.088406,            0.018002,            0.032225,           0.0066634,           0.0066634,            0.040028
                   2,            0.082591,            0.022868,            0.027929,            0.032574,              0.1237,            0.008902,           0.0022614,            0.087579,            0.021222,            0.031459,            0.009996,            0.009996,            0.010027
                   3,            0.075251,            0.022596,            0.025779,             0.12287,             0.10539,            0.044436,             0.01259,            0.072647,            0.017943,            0.025411,            0.009998,            0.009998,            0.009998
                   4,            0.070994,            0.022592,            0.022835,             0.16175,              0.1616,            0.070698,            0.021846,            0.069234,            0.017917,            0.022689,            0.009998,            0.009998,            0.009998
                   5,            0.067895,            0.022236,             0.02115,             0.20319,             0.24853,             0.12727,            0.039827,            0.064496,            0.017396,            0.022277,           0.0099965,           0.0099965,           0.0099965
                   6,            0.065857,            0.022102,            0.020621,             0.27022,             0.23599,             0.15648,             0.05445,            0.062116,            0.016977,            0.019318,           0.0099945,           0.0099945,           0.0099945
                   7,            0.064197,            0.021944,            0.019293,             0.27711,             0.28112,               0.182,            0.059411,            0.060837,            0.016706,            0.019227,           0.0099921,           0.0099921,           0.0099921
                   8,            0.062843,            0.021594,            0.018512,             0.33565,             0.27663,             0.20557,            0.071323,            0.059819,            0.016721,            0.017488,           0.0099893,           0.0099893,           0.0099893
                   9,            0.061629,            0.021683,             0.01804,             0.36872,             0.28541,              0.2297,            0.084469,            0.058083,            0.016443,             0.01536,            0.009986,            0.009986,            0.009986
                  10,            0.060769,            0.021332,            0.017616,             0.39375,             0.28906,             0.25362,             0.09038,            0.057303,            0.016396,            0.018083,           0.0099822,           0.0099822,           0.0099822
                  11,            0.060348,            0.021081,            0.017215,             0.41188,             0.30712,             0.26434,            0.094484,            0.056316,            0.016216,            0.015165,           0.0099781,           0.0099781,           0.0099781
                  12,            0.059482,             0.02108,            0.016958,             0.41614,             0.29671,             0.25919,            0.095046,            0.056146,            0.016188,            0.016878,           0.0099735,           0.0099735,           0.0099735
                  13,            0.058456,            0.021162,            0.016352,             0.36905,             0.35336,             0.28949,             0.10886,            0.054631,            0.016035,            0.014925,           0.0099685,           0.0099685,           0.0099685
